actor,overall_score,positionality_score,reachability_score,reputation_score,keyscore,keyscore_rank,q1_status,q3_status,q4_status
UF01,2.2916666666666665,2.5,2.5,1.8749999999999998,1,1,Sage,Sage,Sage
ST02,0.9074074074074074,0.5,0.5555555555555556,1.6666666666666665,0.3333333333333333,5,Sage,NA,NA
ST04,0.6144781144781145,0.5555555555555556,0.4545454545454546,0.8333333333333333,0.3333333333333333,5,NA,Sage,NA
UF02,0.5728691598256815,0.38461538461538464,0.6818181818181818,0.6521739130434783,1,1,Sage,Sage,Sage
IL01,0.5708333333333333,0.4,0.3125,1,0.6666666666666666,2,Sage,Sage,NA
OR01,0.5702614379084968,0.29411764705882354,0.41666666666666663,1,0.2222222222222222,6,NA,NA,Steward
PA10,0.5430790960451978,0.625,0.75,0.2542372881355932,0.3333333333333333,5,Weaver,Weaver,Weaver
PA08,0.4895076674737691,0.5,0.7142857142857142,0.2542372881355932,0.3333333333333333,5,Weaver,Weaver,Weaver
OR02,0.4750233426704014,0.29411764705882354,0.41666666666666663,0.7142857142857142,0.2222222222222222,6,NA,NA,Steward
US01,0.4480820105820105,0.3125,0.47619047619047616,0.5555555555555556,0.5555555555555556,3,Sage,Steward,NA
SA03,0.42211328976034856,0.29411764705882354,0.41666666666666663,0.5555555555555556,0.2222222222222222,6,NA,NA,Steward
FF02,0.4162210338680927,0.29411764705882354,0.5,0.4545454545454546,0.3333333333333333,5,NA,NA,Sage
FF03,0.4162210338680927,0.29411764705882354,0.5,0.4545454545454546,0.3333333333333333,5,NA,NA,Sage
FF01,0.41391941391941395,0.3571428571428571,0.38461538461538464,0.5,0.3333333333333333,5,NA,NA,Sage
ST03,0.41391941391941395,0.3571428571428571,0.38461538461538464,0.5,0.3333333333333333,5,NA,NA,Sage
ST07,0.41391941391941395,0.3571428571428571,0.38461538461538464,0.5,0.3333333333333333,5,NA,NA,Sage
NC03,0.4055555555555556,0.5,0.41666666666666663,0.30000000000000004,0.4444444444444444,4,Weaver,Sage,NA
PA02,0.4041902071563088,0.3333333333333333,0.625,0.2542372881355932,0.1111111111111111,7,NA,Weaver,NA
OT01,0.40021929824561403,0.3125,0.2631578947368421,0.625,0.3333333333333333,5,NA,Sage,NA
PA06,0.3911287414352686,0.3191489361702127,0.6,0.2542372881355932,0.1111111111111111,7,NA,NA,Weaver
PA01,0.3857491071934698,0.32608695652173914,0.5769230769230769,0.2542372881355932,0.2222222222222222,6,NA,Weaver,Weaver
NC02,0.3806299452221546,0.4838709677419355,0.37500000000000006,0.2830188679245283,0.4444444444444444,4,Weaver,NA,Sage
PA07,0.36273804070414234,0.4054054054054054,0.4285714285714285,0.2542372881355932,0.2222222222222222,6,Weaver,Weaver,NA
UA02,0.33509003074220467,0.21739130434782608,0.4545454545454546,0.3333333333333333,0.2222222222222222,6,NA,Steward,NA
US02,0.3327228327228327,0.2564102564102564,0.38461538461538464,0.3571428571428571,0.5555555555555556,3,Sage,Steward,NA
SA01,0.328525641025641,0.2564102564102564,0.3125,0.41666666666666663,0.5555555555555556,3,Sage,Steward,NA
UA01,0.3178527821384964,0.23076923076923078,0.41666666666666663,0.30612244897959184,0.6666666666666666,2,Steward,Steward,Steward
FL03,0.2906290909614029,0.3191489361702127,0.29411764705882354,0.2586206896551724,0.3333333333333333,5,Weaver,Weaver,Weaver
ST05,0.2877415458937198,0.21739130434782608,0.3125,0.3333333333333333,0.2222222222222222,6,NA,Steward,NA
ST08,0.276426472078646,0.21739130434782608,0.2272727272727273,0.38461538461538464,0.2222222222222222,6,NA,Steward,NA
SA02,0.27314814814814814,0.20833333333333331,0.2777777777777778,0.3333333333333333,0.2222222222222222,6,NA,Steward,NA
ST06,0.259963768115942,0.21739130434782608,0.3125,0.25,0.2222222222222222,6,NA,Steward,NA
OT02,0.2593324549846289,0.21739130434782608,0.2272727272727273,0.3333333333333333,0.2222222222222222,6,NA,Steward,NA
NC01,0.25908320057556916,0.24590163934426226,0.27272727272727276,0.2586206896551724,0.1111111111111111,7,NA,NA,Weaver
FL02,0.2557471264367816,0.2586206896551724,0.25,0.2586206896551724,0.2222222222222222,6,Weaver,NA,Weaver
ST01,0.2498680631672959,0.23809523809523808,0.21739130434782608,0.29411764705882354,0.3333333333333333,5,Sage,NA,NA
ST09,0.24081393646611038,0.21739130434782608,0.2272727272727273,0.2777777777777778,0.2222222222222222,6,NA,Steward,NA
FL01,0.2383720930232558,0.25,0.23255813953488372,0.23255813953488372,0.1111111111111111,7,NA,Weaver,NA
