question,order,from,to
Q1,1,PA01,UF01
Q3,1,PA01,US01
Q3,2,PA01,UF01
Q4,1,PA01,UF01
Q4,2,PA01,FF02
Q1,1,PA02,UF01
Q1,2,PA02,US02
Q3,1,PA02,UF01
Q3,2,PA02,US02
Q4,1,PA02,UF01
Q1,1,PA03,UF01
Q3,1,PA03,UF01
Q4,1,PA03,UF01
Q1,1,PA04,UF01
Q3,1,PA04,UF01
Q4,1,PA04,UF01
Q1,1,PA05,US01
Q1,2,PA05,UF01
Q3,1,PA05,UF01
Q4,1,PA05,UF01
Q1,1,PA06,UF01
Q1,2,PA06,US02
Q3,1,PA06,UF01
Q4,1,PA06,UF01
Q4,2,PA06,FF03
Q1,1,PA07,US01
Q1,2,PA07,UF01
Q1,3,PA07,UF02
Q3,1,PA07,ST08
Q3,2,PA07,OT02
Q3,3,PA07,ST09
Q4,1,PA07,UF01
Q1,1,PA08,UF02
Q1,2,PA08,UF01
Q1,3,PA08,US01
Q3,1,PA08,UF02
Q3,2,PA08,UA02
Q3,3,PA08,UF01
Q4,1,PA08,UF01
Q4,2,PA08,UF02
Q1,1,PA10,UF02
Q1,2,PA10,UF01
Q1,3,PA10,UA01
Q3,1,PA10,UF02
Q3,2,PA10,UF01
Q3,3,PA10,UA01
Q4,1,PA10,UF02
Q4,2,PA10,UF01
Q4,3,PA10,UA01
